Area,Size_sqft,Bedrooms,Bathrooms,Amenities,Furnishing,View,Developer,YearBuilt,ParkingSpaces,AnnualRent,PropertyValuation,PropertyType
Dubai Marina,963,1,1,"Pool, Maid Room, Security, Balcony",Furnished,Sea,Emaar,2006,1,43383,1063425,Apartment
Business Bay,5372,6,5,"Security, Gym, Pet Friendly, Pool, Balcony, Parking",Semi-Furnished,Park,Nakheel,2024,2,249108,4846673,Villa
Arabian Ranches,3036,3,2,"Maid Room, Pool, Balcony, Gym, Security, Parking",Unfurnished,None,Damac,2018,1,188994,4567880,Townhouse
Business Bay,2826,4,3,"Security, Smart Home, Kids Area, Parking, Pool, Pet Friendly",Semi-Furnished,Park,Meraas,2008,3,291723,4907785,Villa
Downtown,901,1,1,"Security, Balcony, Kids Area, Parking, Gym, Pool",Furnished,City,Sobha,2008,1,53453,782776,Apartment
Arabian Ranches,1422,2,3,"Parking, Security, Pool, Pet Friendly, Smart Home, Maid Room",Unfurnished,None,Sobha,2018,2,98391,1407207,Apartment
Downtown,586,1,1,"Parking, Pet Friendly, Security, Gym",Semi-Furnished,Street,Azizi,2014,3,29886,528062,Apartment
JVC,2969,5,6,"Pool, Security, Balcony, Maid Room, Pet Friendly",Furnished,City,Azizi,2024,1,167694,3882506,Villa
JLT,2839,4,3,"Kids Area, Parking, Security, Pet Friendly",Furnished,None,Damac,2015,1,131742,2588792,Townhouse
JLT,893,3,2,"Smart Home, Pool, Pet Friendly",Unfurnished,Park,Nakheel,2021,2,58508,1301528,Apartment
The Springs,2904,4,5,"Security, Pet Friendly, Kids Area, Smart Home",Semi-Furnished,Street,Azizi,2014,1,127569,3043117,Townhouse
JVC,871,3,2,"Pool, Gym, Maid Room",Furnished,Sea,Damac,2002,3,46586,775541,Apartment
Business Bay,1881,3,4,"Balcony, Smart Home, Pet Friendly, Maid Room, Pool, Gym",Furnished,Street,Damac,2013,2,124949,2019478,Apartment
Dubai Marina,1891,2,1,"Balcony, Maid Room, Security, Smart Home",Furnished,Street,Nakheel,2008,2,115195,1701607,Apartment
Palm Jumeirah,2927,2,1,"Pool, Balcony, Maid Room",Semi-Furnished,Street,Sobha,2006,2,223933,4983050,Townhouse
JVC,2343,3,3,"Maid Room, Smart Home, Pool, Pet Friendly, Parking, Kids Area",Furnished,None,Meraas,2017,1,151296,3626906,Townhouse
Palm Jumeirah,1487,1,1,"Parking, Pool, Security",Furnished,Park,Sobha,2003,3,77140,1333797,Apartment
Dubai Marina,1595,3,4,"Security, Balcony, Kids Area, Pet Friendly, Parking",Furnished,City,Sobha,2004,3,104219,1940159,Apartment
